ticker
AAL
AAP
AAPL
ABBV
ABEV
ABNB
ABT
ACH
ACN
ACWI
ADBE
ADI
ADP
AEG
AEM
AGRO
AI
AIG
AKO-B
ALAB
AMAT
AMD
AMGN
AMX
AMZN
ANET
ANF
ARCO
ARKK
ARM
ASML
ASR
ASTS
AVGO
AVY
AXP
AZN
B
BA
BABA
BAC
BAK
BB
BBAR
BBD
BBVA
BCS
BG
BHP
BIDU
BIIB
BIOX
BITF
BK
BKNG
BKR
BLK
BMA
BMNR
BMY
BP
BRFS
BRK-B
BSBR
BTI
BX
C
CAAP
CAH
CAJ
CAR
CAT
CBD
CCJ
CCL
CDE
CEG
CEPU
CIBR
CL
CLS
CMCSA
CMG
COIN
COP
COPX
COST
CRESY
CRM
CRWD
CRWV
CSCO
CVS
CVX
CX
DAL
DD
DE
DECK
DELL
DEO
DESP
DHR
DIA
DIS
DOCU
DOW
DTEGY
E
EA
EBAY
EBR
ECL
EDN
EEM
EFA
EFX
EL
ELP
ENB
EQNR
ERIC
ERJ
ESGU
ETHA
ETSY
EWJ
EWY
EWZ
F
FCX
FDX
FI
FMCC
FMX
FNMA
FSLR
FXI
GDX
GE
GFI
GGAL
GGB
GILD
GLD
GLNG
GLOB
GLW
GM
GOOG
GOOGL
GPRK
GRMN
GS
GSK
GT
HAL
HD
HDB
HIMS
HL
HMC
HMY
HNP
HOG
HON
HOOD
HPQ
HSBC
HSY
HUT
IBB
IBIT
IBM
IBN
ICLN
IEMG
IEUR
IFF
IJH
ILF
INFY
ING
INTC
INTU
IP
IREN
IRS
ISRG
ITA
ITUB
IVE
IVV
IVW
IWM
JCI
JD
JMIA
JNJ
JOYY
JPM
KB
KEP
KGC
KMB
KO
KOF
LAAC
LAC
LFC
LI
LLY
LMT
LND
LOMA
LOW
LRCX
LVS
LYG
MA
MCD
MDLZ
MDT
MELI
META
MFG
MMC
MMM
MO
MOS
MP
MRK
MRNA
MRVL
MS
MSFT
MSI
MSTR
MU
MUFG
MUX
NBIS
NEE
NEM
NET
NFLX
NG
NGG
NIO
NKE
NMR
NOK
NOW
NSANY
NTES
NU
NUE
NVDA
NVO
NVS
NXE
O
OKLO
ONDS
ORAN
ORCL
ORLY
OXY
PAAS
PAC
PAGS
PAM
PANW
PARA
PATH
PBI
PBR
PCAR
PCRFY
PDD
PEP
PFE
PG
PHG
PINS
PKX
PLTR
PM
PSO
PSQ
PSX
PYPL
QCOM
QQQ
RACE
RBLX
RGTI
RIO
RIOT
RKLB
ROKU
ROST
RSP
RTX
SAN
SAP
SATL
SBS
SBUX
SCCO
SCHW
SDA
SE
SH
SHEL
SHOP
SID
SIEGY
SLB
SLV
SMCI
SMH
SNA
SNAP
SNDK
SNOW
SNY
SOFI
SONY
SPCE
SPGI
SPHQ
SPOT
SPXL
SPY
STLA
STNE
SUPV
SUZ
SWKS
SYY
T
TCOM
TEAM
TEF
TEM
TEO
TGS
TGT
TIMB
TJX
TM
TMO
TMUS
TQQQ
TRIP
TRV
TS
TSLA
TSM
TTE
TV
TWLO
TX
TXN
UAL
UBER
UGP
UL
UNH
UNP
UPS
UPST
URA
URBN
USB
USO
V
VALE
VEA
VIG
VIST
VIV
VOD
VOO
VRSN
VRTX
VST
VXX
VZ
WB
WBA
WBD
WFC
WMT
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
XME
XOM
XP
XPEV
XRX
XYZ
YELP
YPF
YUM
ZM
