Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
PAGS,Technology,5.0,Regular,6/6,4.4,9.7,2.8,5.7,4.1,10.0,6.4857144,4.8505363,0.8992008,0.308,0.14518,0.107939996,0.015,0.122,17.59,11.47,3.4
XLY,,5.0,Regular,3/6,,6.0,,,6.0,2.0,29.185991,,0.6971843,,,,,,,0.74,11.2
SPGI,Financial Services,5.0,Regular,6/6,7.2,4.4,6.4,4.8,2.6,2.4,25.858227,18.36777,3.879446,17.52,0.13939999,0.30361998,0.104,0.325,38.392,0.95,-18.9
XLRE,,5.0,Regular,3/6,,2.0,,,6.0,6.0,33.089474,,,,,,,,,3.18,8.9
SPHQ,,5.0,Regular,3/6,,2.0,,,8.0,2.0,28.915411,,,,,,,,,1.05,21.0
ESGU,,5.0,Regular,3/6,,2.0,,,8.0,2.0,26.815815,,,,,,,,,0.92,24.0
NGG,Utilities,4.99,Regular,6/6,5.0,3.5,4.0,4.5,6.0,8.5,19.433876,12.691216,9.666445,76.963,0.08406,0.18324,0.02,0.144,121.294,3.9,14.1
NET,Technology,4.99,Regular,5/6,1.9,1.3,7.5,3.6,5.5,,,154.41237,56.425922,-2293.553,-0.05876,-0.037249997,0.335,,230.859,,24.6
GGB,Basic Materials,4.98,Regular,6/6,3.9,8.7,3.4,6.7,4.8,7.1,25.843752,7.264606,0.8032748,1.975,0.03066,0.02369,-0.038,0.379,29.024,3.07,60.0
STLA,Consumer Cyclical,4.98,Regular,6/6,1.7,9.9,4.7,4.6,3.2,10.0,,3.1731927,0.25529066,-33.002,-0.30152,-0.13866,0.065,,78.657,10.58,-20.4
HPQ,Technology,4.95,Regular,6/6,3.2,9.3,3.9,1.9,5.0,9.7,8.385185,7.5216193,-144.20381,5.96,,0.044460002,0.09,0.162,,5.24,13.4
SNAP,Communication Services,4.95,Regular,5/6,1.8,7.1,6.9,5.7,2.5,,,6.0141673,3.5952766,-35.873,-0.18648,-0.06722,0.121,,201.585,,-34.3
PCAR,Industrials,4.92,Regular,6/6,4.4,5.1,4.3,8.6,5.2,3.4,25.501066,17.632654,3.1857653,21.751,0.13108,0.08913,-0.089,0.197,76.163,1.16,19.0
