Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
LI,Consumer Cyclical,3.25,Flojo,5/6,3.1,7.4,1.6,8.8,1.4,,,11.607394,1.1682172,-47.303,-0.02495,-0.0166,-0.114,,25.122,,-45.4
SID,Basic Materials,3.21,Flojo,5/6,2.2,8.8,3.0,2.0,2.1,,,-6.2765517,0.48793212,5.72,-0.08274,-0.04492,-0.028,,323.932,,-3.6
HIMS,Healthcare,2.99,Flojo,5/6,2.3,1.7,3.9,4.8,1.6,,,37.483147,17.249224,98.744,-0.026589999,-0.00559,0.038,,253.725,,-47.5
BAK,Basic Materials,2.97,Flojo,5/6,1.8,2.2,3.9,1.5,3.2,,,-4.7013173,-0.33068165,16.336,,-0.13682,-0.204,1.072,,,26.8
XPEV,Consumer Cyclical,2.97,Flojo,5/6,2.7,4.7,1.2,5.1,4.3,,,22.288368,2.7500708,-3.898,-0.07638,-0.03056,-0.176,,83.214,,-9.3
AI,Technology,2.91,Flojo,5/6,1.1,9.1,1.1,8.6,1.4,,,-19.64983,2.0047543,-1.827,-0.6305,-1.87946,-0.525,,8.976,,-56.2
GT,Consumer Cyclical,2.69,Flojo,5/6,1.7,8.6,1.8,2.8,2.0,,,8.663318,0.63522434,8.163,-0.49976003,-0.11643,-0.087,,253.056,,-41.2
COIN,Financial Services,2.38,Flojo,5/6,2.6,3.3,1.4,6.7,1.4,,55.959408,31.451168,2.9632452,36.708,0.06686,0.12736,-0.308,,59.081,,-46.5
BIOX,Basic Materials,2.31,Flojo,5/6,1.3,10.0,1.3,1.8,1.3,,,0.519375,0.312406,-70.411,-0.3222,-0.96883005,-0.359,,251.046,,-90.1
ACH,Healthcare,2.3,Flojo,5/6,1.5,9.8,1.3,1.3,1.3,,,5.01112,-0.56805074,6.45,-1.98354,-0.39844,-0.068,,,,-68.8
IBIT,,0.67,Flojo (poca data),2/6,,,,,1.0,0.0,,,,,,,,,,0.0,-32.0
ETHA,,0.67,Flojo (poca data),2/6,,,,,1.0,0.0,,,,,,,,,,0.0,-20.3
VXX,,0.67,Flojo (poca data),2/6,,,,,1.0,0.0,,,,,,,,,,0.0,-49.8
BITF,,,s/d,0/6,,,,,,,,,,,,,,,,,
BRFS,,,s/d,0/6,,,,,,,,,,,,,,,,,
CAJ,,,s/d,0/6,,,,,,,,,,,,,,,,,
CBD,,,s/d,0/6,,,,,,,,,,,,,,,,,
DESP,,,s/d,0/6,,,,,,,,,,,,,,,,,
EBR,,,s/d,0/6,,,,,,,,,,,,,,,,,
ELP,,,s/d,0/6,,,,,,,,,,,,,,,,,
ERJ,,,s/d,0/6,,,,,,,,,,,,,,,,,
FI,,,s/d,0/6,,,,,,,,,,,,,,,,,
HNP,,,s/d,0/6,,,,,,,,,,,,,,,,,
LAAC,,,s/d,0/6,,,,,,,,,,,,,,,,,
LFC,,,s/d,0/6,,,,,,,,,,,,,,,,,
MMC,,,s/d,0/6,,,,,,,,,,,,,,,,,
ORAN,,,s/d,0/6,,,,,,,,,,,,,,,,,
PARA,,,s/d,0/6,,,,,,,,,,,,,,,,,
PCRFY,,,s/d,0/6,,,,,,,,,,,,,,,,,
TEF,,,s/d,0/6,,,,,,,,,,,,,,,,,
WBA,,,s/d,0/6,,,,,,,,,,,,,,,,,
